LONGITUDE.I,LATITUDE.I,Intersection
-77.031998,38.916982,14th St. & U St. NW
-77.072906,38.922539,Wisconsin Ave. & Calvert St. NW
-76.997699,38.932522,Michigan Ave. NE & Monroe St. NE
-76.997497,38.900249,H St. b/t 4th St NE & 8th St. NE
-77.094981,38.91586,MacArthur Blvd & Resevoir Rd. NW
-76.949138,38.895132,Benning Rd. & Minnesota Ave. NE
-76.932977,38.881463,Benning Rd. & G St. SE
-76.970594,38.873475,Pennsylvania Ave. & Minnesota Ave. SE
-76.984477,38.866698,Minnesota Ave. & Good Hope Rd. SE
-76.994247,38.843728,Alabama Ave. & Wheeler Rd. SE
